Ticker,InvName,B3Name,nosName
PLAS3,PLASCAR PART ON,PLASCAR PARTON,PLASCARPARTON
PMAM3,PARANAPANEMA ON,PARANAPANEMAON NM,PARANAPANEMAONNM
POMO3,MARCOPOLO ON,MARCOPOLO ON N2,MARCOPOLOONN2
POMO4,MARCOPOLO PN,MARCOPOLO PN N2,MARCOPOLOPNN2
POSI3,POSITIVO INF ON,POSITIVO TECON NM,POSITIVOTECONNM
PSSA3,PORTO SEGURO ON,PORTO SEGUROON NM,PORTOSEGUROONNM
PTBL3,PORTOBELLO ON,PORTOBELLO ON NM,PORTOBELLOONNM
PTNT4,PETTENATI PN,PETTENATI PN,PETTENATIPN
ENAT3,Enauta ON,ENAUTA PART ON NM,ENAUTAPARTONNM
QUAL3,QUALICORP ON,QUALICORP ON NM,QUALICORPONNM
RAPT3,RANDON PART ON,RANDON PART ON N1,RANDONPARTONN1
RAPT4,RANDON PART PN,RANDON PART PN N1,RANDONPARTPNN1
RDNI3,RODOBENSIMOB ON,RNI ON NM,RNIONNM
RENT3,LOCALIZA ON,LOCALIZA ON NM,LOCALIZAONNM
FRTA3,Pomifrutas,POMIFRUTAS ON NM,POMIFRUTASONNM
RNEW11,RENOVA UNT,RENOVA UNT N2,RENOVAUNTN2
ROMI3,INDS ROMI ON,INDS ROMI ON NM,INDSROMIONNM
RSID3,ROSSI RESID ON,ROSSI RESID ON NM,ROSSIRESIDONNM
SANB11,SANTANDER BR UNT,SANTANDER BRUNT,SANTANDERBRUNT
SBSP3,SABESP ON,SABESP ON NM,SABESPONNM
SCAR3,SAO CARLOS ON,SAO CARLOS ON NM,SAOCARLOSONNM
SGPS3,SPRINGS ON,SPRINGS ON NM,SPRINGSONNM
SHOW3,TIME FOR FUN ON,TIME FOR FUNON NM,TIMEFORFUNONNM
SLCE3,SLC AGRICOLA ON,SLC AGRICOLAON NM,SLCAGRICOLAONNM
SLED4,SARAIVA LIVR PN,SARAIVA LIVRPN N2,SARAIVALIVRPNN2
SMTO3,SAO MARTINHO ON,SAO MARTINHOON NM,SAOMARTINHOONNM
SULA11,SUL AMERICA UNT,SUL AMERICA UNT N2,SULAMERICAUNTN2
EGIE3,ENGIE BRASILON NM,ENGIE BRASILON NM,ENGIEBRASILONNM
TCSA3,TECNISA ON,TECNISA ON NM,TECNISAONNM
TECN3,TECHNOS ON,TECHNOS ON NM,TECHNOSONNM
TEKA4,TEKA PN,TEKA PN,TEKAPN
TGMA3,TEGMA ON,TEGMA ON NM,TEGMAONNM
TOTS3,TOTVS ON,TOTVS ON NM,TOTVSONNM
