Ticker,InvName,B3Name,nosName1,EDJ,nosName
BRSR5,BANRISUL PNA,BANRISUL PNA N1,BANRISULPNAN1,BANRISULPNAEDJN1,BANRISULPNAN
CESP5,CESP PNA,CESP PNA N1,CESPPNAN1,CESPPNAEDJN1,CESPPNAN
SANB4,SANTANDER BRPN,SANTANDER BRPN,SANTANDERBRPN,SANTANDERBREDJPN,SANTANDERBRN
STBP3,Santos Brasil Participacoes,SANTOS BRP ON NM,SANTOSBRPONNM,SANTOSBRPONEDJNM,SANTOSBRPONN
CESP3,CESP ON,CESP ON N1,CESPONN1,CESPONEDJN1,CESPONN
CGRA3,GRAZZIOTIN ON,GRAZZIOTIN ON,GRAZZIOTINON,GRAZZIOTINEDJON,GRAZZIOTINN
CLSC4,CELESC PN,CELESC PN N2,CELESCPNN2,CELESCPNEDJN2,CELESCPNN
COCE3,COELCE ON,COELCE ON,COELCEON,COELCEEDJON,COELCEN
TASA3,Taurus Armas ON,TAURUS ARMASON N2,TAURUSARMASONN2,TAURUSARMASONEDJN2,TAURUSARMASONN
COGN3,Cogna Educacao,COGNA ON ON NM,COGNAONONNM,COGNAONONEDJNM,COGNAONONN
LCAM3,LOCAMERICA ON NM,LOCAMERICA ON NM,LOCAMERICAONNM,LOCAMERICAONEDJNM,LOCAMERICAONN
RADL3,RAIADROGASIL ON,RAIADROGASILON NM,RAIADROGASILONNM,RAIADROGASILONEDJNM,RAIADROGASILONN
UCAS3,UNICASA ON,UNICASA ON NM,UNICASAONNM,UNICASAONEDJNM,UNICASAONN
ALUP11,Alupar Invest Unit,ALUPAR UNT N2,ALUPARUNTN2,ALUPARUNTEDJN2,ALUPARUNTN
ANIM3,Anima ON,ANIMA ON NM,ANIMAONNM,ANIMAONEDJNM,ANIMAONN
BBSE3,BBSEGURIDADE ON NM,BBSEGURIDADEON NM,BBSEGURIDADEONNM,BBSEGURIDADEONEDJNM,BBSEGURIDADEONN
BSEV3,Biosev ON,BIOSEV ON NM,BIOSEVONNM,BIOSEVONEDJNM,BIOSEVONN
CVCB3,CVC BRASIL ON NM,CVC BRASIL ON NM,CVCBRASILONNM,CVCBRASILONEDJNM,CVCBRASILONN
LINX3,LINX ON NM,LINX ON NM,LINXONNM,LINXONEDJNM,LINXONN
SEER3,Ser Educa ON,SER EDUCA ON NM,SEREDUCAONNM,SEREDUCAONEDJNM,SEREDUCAONN
SMLS3,Smiles Fidelidade,SMILES ON NM,SMILESONNM,SMILESONEDJNM,SMILESONN
TUPY3,Tupy ON,TUPY ON NM,TUPYONNM,TUPYONEDJNM,TUPYONN
SQIA3,Senior Solution,SINQIA ON NM,SINQIAONNM,SINQIAONEDJNM,SINQIAONN
BIOM3,Biomm On,BIOMM ON MA,BIOMMONMA,BIOMMONEDJMA,BIOMMONN
KLBN11,KLABIN S/A UNT N2,KLABIN S/A UNT N2,KLABINS/AUNTN2,KLABINS/AUNTEDJN2,KLABINS/AUNTN
NUTR3,Nutriplant,NUTRIPLANT ON MA,NUTRIPLANTONMA,NUTRIPLANTONEDJMA,NUTRIPLANTONN
BAZA3,Banco da Amazonia SA ON,AMAZONIA ON,AMAZONIAON,AMAZONIAEDJON,AMAZONIAN
HGBS11,CSHG Brasil Shopping,FII HEDGEBS CI,FIIHEDGEBSCI,FIIHEDGEBSEDJCI,FIIHEDGEBSN
HGPO11,CSHG JHSF Prime Offices,FII CSHGPRIMCI,FIICSHGPRIMCI,FIICSHGPRIMEDJCI,FIICSHGPRIMN
MBRF11,Mercantil do Brasil,FII MERC BR CI,FIIMERCBRCI,FIIMERCBREDJCI,FIIMERCBRN
TCNO3,Tecnosolo Engenharia SA ON,TECNOSOLO ON,TECNOSOLOON,TECNOSOLOEDJON,TECNOSOLON
ABCP11,FII ABC IMOB,FII ABC IMOBCI,FIIABCIMOBCI,FIIABCIMOBEDJCI,FIIABCIMOBN
RBED11,Fdo Inv Imob Rio Bravo Renda Educacional,FII RIOB ED CI,FIIRIOBEDCI,FIIRIOBEDEDJCI,FIIRIOBEDN
BBPO11,FII BB PRGII,FII BB PRGIICI,FIIBBPRGIICI,FIIBBPRGIIEDJCI,FIIBBPRGIIN
BBRC11,FII BB CORP,FII BB CORP CI,FIIBBCORPCI,FIIBBCORPEDJCI,FIIBBCORPN
BPFF11,FII ABSOLUTO,FII ABSOLUTOCI,FIIABSOLUTOCI,FIIABSOLUTOEDJCI,FIIABSOLUTON
BRCR11,FII BC FUND,FII BC FUND CI,FIIBCFUNDCI,FIIBCFUNDEDJCI,FIIBCFUNDN
CTXT11,FII C TEXTIL,FII C TEXTILCI,FIICTEXTILCI,FIICTEXTILEDJCI,FIICTEXTILN
CXTL11,FII CX TRX,FII CX TRX CI,FIICXTRXCI,FIICXTRXEDJCI,FIICXTRXN
EURO11,FII EUROPAR,FII EUROPAR CI,FIIEUROPARCI,FIIEUROPAREDJCI,FIIEUROPARN
RCRB11,FII Rio Bravo Renda Corporativa,FII RIOB RC CI,FIIRIOBRCCI,FIIRIOBRCEDJCI,FIIRIOBRCN
FIGS11,FII GEN SHOP,FII GEN SHOPCI,FIIGENSHOPCI,FIIGENSHOPEDJCI,FIIGENSHOPN
FLMA11,FII S F LIMA,FII S F LIMACI,FIISFLIMACI,FIISFLIMAEDJCI,FIISFLIMAN
FPAB11,FII A BRANCA,FII A BRANCACI,FIIABRANCACI,FIIABRANCAEDJCI,FIIABRANCAN
HMOC11,FII GWI RI,FII HEDMOCA CI,FIIHEDMOCACI,FIIHEDMOCAEDJCI,FIIHEDMOCAN
HGCR11,FII CSHG CRI,FII CSHG CRICI,FIICSHGCRICI,FIICSHGCRIEDJCI,FIICSHGCRIN
HGLG11,FII CSHG LOG,FII CSHG LOGCI,FIICSHGLOGCI,FIICSHGLOGEDJCI,FIICSHGLOGN
